dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source,result_arm,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,telm2_n_iters,telm2_c_repr,telm2_activation,telm2_bias_update_mode,feedback_margin_temperature,aug_loss_weight,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
atrialfibrillation,1,success,lraes,resnet1d,act,0.2136752136752136,0.1481481481481481,-0.0655270655270655,-30.66665231467338,15,15,0.2222222222222222,0.2222222222222222,0.0001286626426505,0.0271410219340568,1.0875955872194434,0.1393040865993448,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,9,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,2,success,lraes,resnet1d,act,0.2401960784313725,0.2401960784313725,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.0001278305810888,0.0330612696597585,1.0762513349219878,0.1224981048179804,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,9,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.1666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.000128953087307,0.0325316968275679,1.0769594629072867,0.1242139429436418,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,9,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
handwriting,1,success,lraes,resnet1d,act,0.2647332101658577,0.4409214546430806,0.1761882444772229,66.55310749026613,15,15,0.2494047619047619,0.2930555555555555,0.0001569799485596,0.0003243467872404,1.0791974209731106,0.1154928818978484,0.8510652870467545,0.2429830989517447,0.0,0.0,120,120,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
handwriting,2,success,lraes,resnet1d,act,0.235855843616036,0.3712043067058941,0.1353484630898581,57.38607262329584,15,15,0.2262626262626262,0.3827380952380952,0.0001567128988155,0.0003194410324295,1.0813112206177289,0.1186697281905948,0.8748595256426384,0.2591882417685239,0.0,0.0,120,120,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
handwriting,3,success,lraes,resnet1d,act,0.2518382860113333,0.3987546615970468,0.1469163755857135,58.337562399682,15,15,0.1999999999999999,0.2652777777777778,0.0001571706583122,0.0003250355355428,1.0829551864782023,0.1193231145608853,0.867617465837255,0.2621793509247431,0.0,0.0,120,120,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
natops,1,success,lraes,resnet1d,act,0.9373000436629222,0.932213984205278,-0.005086059457644,-0.5426286864491452,15,15,0.972027972027972,0.9442501942501944,0.0004454072847582,2.9117433656524145,1.2678927107774618,0.4014608265553512,0.99999999999,5.820767164174551,0.0,0.0,144,144,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
natops,2,success,lraes,resnet1d,act,0.94962180852706,0.950037264852595,0.0004154563255349,0.0437496567638561,15,15,0.9444444444444444,0.972027972027972,0.0004451966676443,2.9147330765041493,1.280040296176968,0.4139877208634041,0.99999999999,5.7362806886113855,0.0,0.0,144,144,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
natops,3,success,lraes,resnet1d,act,0.8780165897375874,0.8889685596022514,0.0109519698646639,1.247353267047483,15,15,0.945887445887446,0.945887445887446,0.000445162811166,2.922072582397758,1.2816898898438918,0.4151811859208174,0.99999999999,5.643837013582446,0.0,0.0,144,144,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,1,success,zpia,resnet1d,act,0.2136752136752136,0.2649572649572649,0.0512820512820512,23.999988768005263,15,15,0.2222222222222222,0.2222222222222222,0.0001283662380759,0.0272323747929411,1.086836319523731,0.1251501039260952,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,10,zpia_telm2,mba_core_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.4780402884657121,0.4964101776980024,0.0135688122897637,3.0,1.0,sine,residual,,,,,,,
atrialfibrillation,2,success,zpia,resnet1d,act,0.2401960784313725,0.2401960784313725,0.0,0.0,15,15,0.5555555555555555,0.1666666666666666,0.00012677182871,0.0331646258696613,1.0902395434648977,0.1304895534449007,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,10,zpia_telm2,mba_core_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.5430417954751502,0.5774182954621443,0.0352612068815421,3.0,1.0,sine,residual,,,,,,,
atrialfibrillation,3,success,zpia,resnet1d,act,0.1666666666666666,0.1666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.0001251567277238,0.0321147013289,1.077840205113669,0.1222171911748394,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,10,zpia_telm2,mba_core_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.4107546028602025,0.4103549953532568,0.0121814739012159,3.0,1.0,sine,residual,,,,,,,
handwriting,1,success,zpia,resnet1d,act,0.2647332101658577,0.3369099774236352,0.0721767672577775,27.263953755029213,15,15,0.2494047619047619,0.2799603174603174,0.0001569706236843,0.0003232445079276,1.0693299842380268,0.1055402774806588,0.8510652844482895,0.2429830989517447,0.0,0.0,120,120,10,10,zpia_telm2,mba_core_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.1770055747633796,0.3745484389946149,0.2727619305455906,3.0,1.0,sine,residual,,,,,,,
handwriting,2,success,zpia,resnet1d,act,0.235855843616036,0.4415305408918542,0.2056746972758182,87.20352522073743,15,15,0.2262626262626262,0.3916666666666666,0.0001569394050241,0.0003195011442546,1.0722578592825391,0.1094351531597623,0.8748595231437427,0.2591882417685239,0.0,0.0,120,120,10,10,zpia_telm2,mba_core_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.1918097120850691,0.4068697073242486,0.2564178798185317,3.0,1.0,sine,residual,,,,,,,
handwriting,3,success,zpia,resnet1d,act,0.2518382860113333,0.3362662374237777,0.0844279514124444,33.52465553390459,15,15,0.1999999999999999,0.3057539682539683,0.0001566705600973,0.0003247051096497,1.0732487307501877,0.1090812124488052,0.8676174586492559,0.2621793509247431,0.0,0.0,120,120,10,10,zpia_telm2,mba_core_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.2306510925046364,0.3965194710177848,0.2573934909405362,3.0,1.0,sine,residual,,,,,,,
natops,1,success,zpia,resnet1d,act,0.9373000436629222,0.9433461909353904,0.0060461472724683,0.6450598896571471,15,15,0.972027972027972,0.945887445887446,0.0004494438989364,2.912408272354664,1.4208362864470558,0.5722158681829546,0.99999999999,5.820767164174551,0.0,0.0,144,144,10,10,zpia_telm2,mba_core_zpia,300.0,144.0,True,1.0,1.0000000000000002,1.0,0.0,0.7636912876489859,0.7758175281320282,0.0194235637175375,3.0,1.0,sine,residual,,,,,,,
natops,2,success,zpia,resnet1d,act,0.94962180852706,0.9318273327402968,-0.0177944757867631,-1.8738484892754683,15,15,0.9444444444444444,0.972027972027972,0.0004491935895494,2.914722989859794,1.4156623772989196,0.5657691090878425,0.99999999999,5.7362806886113855,0.0,0.0,144,144,10,10,zpia_telm2,mba_core_zpia,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7607113644303106,0.7752064445402821,0.0206750556884329,3.0,1.0,sine,residual,,,,,,,
natops,3,success,zpia,resnet1d,act,0.8780165897375874,0.933223734988114,0.0552071452505265,6.287710233278851,15,15,0.945887445887446,0.972027972027972,0.0004487287413778,2.921029937512813,1.4074847341826922,0.557287613804095,0.99999999999,5.643837013582446,0.0,0.0,144,144,10,10,zpia_telm2,mba_core_zpia,300.0,144.0,True,1.0,1.0000000000000002,1.0,0.0,0.7593925858449917,0.7714197579946193,0.0266964485000657,3.0,1.0,sine,residual,,,,,,,
atrialfibrillation,1,success,lraes,resnet1d,mba_feedback,0.2136752136752136,0.3111111111111111,0.0974358974358974,45.59997865921,15,15,0.2222222222222222,0.5555555555555555,0.0001267860887747,0.0272193201678314,1.0914075427950058,0.1436760093274768,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,9,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.839520698123508,0.1888302687917996,0.0242593642324209,0.0224981512874364,4.538788318634033
atrialfibrillation,2,success,lraes,resnet1d,mba_feedback,0.2401960784313725,0.2649572649572649,0.0247611865258924,10.308734588367743,15,15,0.5555555555555555,0.5555555555555555,0.0001319117784642,0.0333055560506802,1.0948325654083382,0.1487686091813744,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,9,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.8266830643018087,0.1914728435760991,0.0286321248859167,0.0264563076198101,4.325337886810303
atrialfibrillation,3,success,lraes,resnet1d,mba_feedback,0.1666666666666666,0.2433862433862433,0.0767195767195767,46.03171841271498,15,15,0.5555555555555555,0.5555555555555555,0.0001317520352622,0.0325589154643142,1.0860053494450734,0.1400692071846332,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,9,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.8562025310264694,0.1716491909394007,0.0178687460720539,0.0195860508829355,4.607771396636963
handwriting,1,success,lraes,resnet1d,mba_feedback,0.2647332101658577,0.2712507578361287,0.0065175476702709,2.4619295796919785,15,15,0.2494047619047619,0.2722222222222222,0.0001573224354866,0.0003240592319041,1.0770717744748584,0.1139991695373596,0.8510652872284485,0.2429830989517447,0.0,0.0,120,120,10,10,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.602060483838949,0.2371212561068354,0.9253143966197968,0.5699564516544342,1.8397218585014343
handwriting,2,success,lraes,resnet1d,mba_feedback,0.235855843616036,0.2784985719855951,0.042642728369559,18.079988876167445,15,15,0.2262626262626262,0.2668650793650793,0.0001575977174057,0.0003206693643335,1.0817051530544657,0.1198363824771353,0.8748595268574775,0.2591882417685239,0.0,0.0,120,120,10,10,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.5862447625564204,0.2301370791951121,0.9313342869281768,0.5768240392208099,1.732484519481659
handwriting,3,success,lraes,resnet1d,mba_feedback,0.2518382860113333,0.2077126156123554,-0.0441256703989778,-17.521423599415886,15,15,0.1999999999999999,0.225,0.0001568965822525,0.0003240068520925,1.081742630238755,0.1182017084972994,0.867617464781641,0.2621793509247431,0.0,0.0,120,120,10,10,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.5872010669029422,0.2286100176119793,0.9802337884902954,0.58524489402771,1.6371760964393616
natops,1,success,lraes,resnet1d,mba_feedback,0.9373000436629222,0.9426910525254838,0.0053910088625616,0.5751635587607844,15,15,0.972027972027972,0.945887445887446,0.000444959412714,2.9109362773788097,1.2648716097010178,0.396142624218996,0.99999999999,5.820767164174551,0.0,0.0,144,144,10,10,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.8983059446913777,0.1820122608403556,0.1059407802919546,0.0243604313582181,5.470225016276042
natops,2,success,lraes,resnet1d,mba_feedback,0.94962180852706,0.9659287282238102,0.0163069196967501,1.7172012935172776,15,15,0.9444444444444444,0.972027972027972,0.0004453095489658,2.9144199630812757,1.286187276981095,0.4183674112392138,0.99999999999,5.7362806886113855,0.0,0.0,144,144,10,10,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.8803323475747473,0.2014690962882049,0.0242196166266997,0.0414788077274958,5.033244609832764
natops,3,success,lraes,resnet1d,mba_feedback,0.8780165897375874,0.902392060289644,0.0243754705520566,2.776196721196926,15,15,0.945887445887446,0.972027972027972,0.0004454708182896,2.9217935566599658,1.2845759609595702,0.4195591454660202,0.99999999999,5.643837013582446,0.0,0.0,144,144,10,10,lraes,mba_feedback_lraes,,,,,,,,,,,,,,,1.0,1.0,0.8929963332734554,0.1978693124573534,0.1783983781933784,0.0538776305814584,4.564224720001221
atrialfibrillation,1,success,zpia,resnet1d,mba_feedback,0.2136752136752136,0.2407407407407407,0.027065527065527,12.66666073866944,15,15,0.2222222222222222,0.5555555555555555,0.0001272561962381,0.0267580385877168,1.080477984680878,0.1182575871552075,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,10,zpia_telm2,mba_feedback_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.4780402884657121,0.4964101776980024,0.0135688122897637,3.0,1.0,sine,residual,1.0,1.0,0.8409690663218499,0.1882282486890066,0.0221961736679077,0.0203412361443042,4.5180439949035645
atrialfibrillation,2,success,zpia,resnet1d,mba_feedback,0.2401960784313725,0.264069264069264,0.0238731856378915,9.939036413400895,15,15,0.5555555555555555,0.5555555555555555,0.0001310591068512,0.0329536084496822,1.0940378917516351,0.1369169529867785,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,10,zpia_telm2,mba_feedback_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.5430417954751502,0.5774182954621443,0.0352612068815421,3.0,1.0,sine,residual,1.0,1.0,0.8254808411002159,0.1925747061254381,0.0360759645700454,0.0344656631350517,4.245585441589356
atrialfibrillation,3,success,zpia,resnet1d,mba_feedback,0.1666666666666666,0.2433862433862433,0.0767195767195767,46.03171841271498,15,15,0.5555555555555555,0.5555555555555555,0.0001310494035183,0.0324132771785191,1.0790352598796895,0.1304829310011905,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,10,zpia_telm2,mba_feedback_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.4107546028602025,0.4103549953532568,0.0121814739012159,3.0,1.0,sine,residual,1.0,1.0,0.8573955519331826,0.1721251800639091,0.0164148807525634,0.0163713917136192,4.638672828674316
handwriting,1,success,zpia,resnet1d,mba_feedback,0.2647332101658577,0.2908608469886471,0.0261276368227894,9.86941794609083,15,15,0.2494047619047619,0.2569444444444444,0.000156310965047,0.000322725356977,1.0701919427331708,0.1061687800965048,0.8510652858164648,0.2429830989517447,0.0,0.0,120,120,10,10,zpia_telm2,mba_feedback_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.1770055747633796,0.3745484389946149,0.2727619305455906,3.0,1.0,sine,residual,1.0,1.0,0.6007626246950692,0.237879545170757,0.9374404549598694,0.5674004256725311,1.7899280190467834
handwriting,2,success,zpia,resnet1d,mba_feedback,0.235855843616036,0.2572901065312444,0.0214342629152083,9.087862102005158,15,15,0.2262626262626262,0.2932539682539682,0.0001569173140881,0.0003199978760696,1.0747356235691228,0.1109100296086879,0.8748595231437427,0.2591882417685239,0.0,0.0,120,120,10,10,zpia_telm2,mba_feedback_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.1918097120850691,0.4068697073242486,0.2564178798185317,3.0,1.0,sine,residual,1.0,1.0,0.5824236335853735,0.2277380840779159,0.9582071304321288,0.5854744613170624,1.6851863265037537
handwriting,3,success,zpia,resnet1d,mba_feedback,0.2518382860113333,0.2344207014352458,-0.0174175845760874,-6.9161754297868,15,15,0.1999999999999999,0.2057539682539682,0.000157152324547,0.0003242990202455,1.0714074285224833,0.1076290228434879,0.8676174587905521,0.2621793509247431,0.0,0.0,120,120,10,10,zpia_telm2,mba_feedback_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.2306510925046364,0.3965194710177848,0.2573934909405362,3.0,1.0,sine,residual,1.0,1.0,0.5855536614110073,0.2299699176684303,0.9903886318206788,0.5906756520271301,1.6235029101371763
natops,1,success,zpia,resnet1d,mba_feedback,0.9373000436629222,0.9374240393417628,0.0001239956788405,0.0132290259079673,15,15,0.972027972027972,0.945887445887446,0.0004497251974008,2.911917636925598,1.4219767841509343,0.5736448013511298,0.99999999999,5.820767164174551,0.0,0.0,144,144,10,10,zpia_telm2,mba_feedback_zpia,300.0,144.0,True,1.0,1.0000000000000002,1.0,0.0,0.7636912876489859,0.7758175281320282,0.0194235637175375,3.0,1.0,sine,residual,1.0,1.0,0.8969484765306805,0.1832061015448122,0.0890980375309785,0.022824107358853,5.584321975708008
natops,2,success,zpia,resnet1d,mba_feedback,0.94962180852706,0.9601036657949744,0.0104818572679142,1.1037926962081666,15,15,0.9444444444444444,0.972027972027972,0.0004492390557353,2.9140050353470364,1.4182081668333264,0.5683546385686579,0.99999999999,5.7362806886113855,0.0,0.0,144,144,10,10,zpia_telm2,mba_feedback_zpia,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7607113644303106,0.7752064445402821,0.0206750556884329,3.0,1.0,sine,residual,1.0,1.0,0.8839714239204854,0.1990464019655843,0.0190694102396567,0.0376216272513071,5.1949968338012695
natops,3,success,zpia,resnet1d,mba_feedback,0.8780165897375874,0.918663244728834,0.0406466549912465,4.629371567343964,15,15,0.945887445887446,0.945887445887446,0.0004487550018517,2.921551429616285,1.3933953756596575,0.5481416435684822,0.99999999999,5.643837013582446,0.0,0.0,144,144,10,10,zpia_telm2,mba_feedback_zpia,300.0,144.0,True,1.0,1.0000000000000002,1.0,0.0,0.7593925858449917,0.7714197579946193,0.0266964485000657,3.0,1.0,sine,residual,1.0,1.0,0.8929881736318176,0.1939624363256759,0.1924422880013784,0.0578566466768582,4.851166645685832
